,topy,boty,topx,botx,height,width
130,62,85,80,98,23,18
131,33,49,143,155,16,12
132,113,140,14,34,27,20
133,117,144,2,22,27,20
134,85,108,291,308,23,17
135,73,87,252,262,14,10
136,70,88,256,269,18,13
137,56,71,173,185,15,12
138,49,61,155,164,12,9
139,49,61,147,156,12,9
140,50,60,143,151,10,8
141,81,113,112,136,32,24
142,19,32,220,230,13,10
143,50,72,27,43,22,16
144,84,102,148,161,18,13
145,85,105,119,133,20,14
146,79,97,107,120,18,13
147,78,93,94,104,15,10
148,57,67,156,164,10,8
149,47,56,208,215,9,7
150,90,108,78,91,18,13
151,89,105,68,80,16,12
152,92,110,15,29,18,14
153,155,199,29,62,44,33
154,161,197,3,30,36,27
155,136,166,19,42,30,23
156,121,153,7,31,32,24
157,96,126,329,351,30,22
158,78,98,245,260,20,15
159,69,88,232,246,19,14
160,57,72,21,32,15,11
161,57,72,17,29,15,12
162,68,84,205,217,16,12
163,103,137,37,62,34,25
164,93,122,326,348,29,22
165,48,63,58,69,15,11
166,54,73,20,34,19,14
167,56,73,37,50,17,13
168,68,92,338,355,24,17
169,126,155,8,30,29,22
170,89,110,29,44,21,15
171,89,107,167,181,18,14
172,88,105,161,174,17,13
173,76,90,285,296,14,11
174,90,106,218,230,16,12
175,83,112,231,253,29,22
176,77,102,225,244,25,19
177,82,107,287,306,25,19
178,86,114,294,314,28,20
179,56,74,291,304,18,13
180,62,79,313,326,17,13
181,57,77,25,40,20,15
182,61,76,35,47,15,12
183,159,188,332,354,29,22
184,149,170,325,341,21,16
185,126,140,201,211,14,10
186,123,139,302,313,16,11
187,166,188,37,54,22,17
188,122,140,323,336,18,13
189,129,142,230,239,13,9
190,98,121,109,126,23,17
191,93,120,72,93,27,21
192,124,158,189,214,34,25
193,188,237,296,333,49,37
194,136,174,274,303,38,29
195,130,165,228,255,35,27
196,131,165,217,243,34,26
197,109,133,207,225,24,18
198,109,131,228,245,22,17
199,98,122,178,196,24,18
200,98,120,315,332,22,17
201,170,209,69,99,39,30
202,172,208,53,80,36,27
203,95,115,172,187,20,15
204,95,115,156,171,20,15
205,115,148,36,60,33,24
206,112,134,3,19,22,16
207,99,123,335,353,24,18
208,84,103,110,124,19,14
209,91,110,318,332,19,14
210,92,107,339,350,15,11
211,82,97,282,293,15,11
212,81,95,272,282,14,10
213,206,239,183,208,33,25
214,117,142,38,56,25,18
215,95,122,44,65,27,21
216,103,124,10,26,21,16
217,97,117,35,50,20,15
218,157,177,68,83,20,15
219,183,223,56,86,40,30
220,161,194,75,100,33,25
221,120,146,6,26,26,20
222,110,133,40,57,23,17
223,122,147,132,151,25,19
224,77,88,252,261,11,9
225,126,154,181,201,28,20
226,117,145,165,186,28,21
227,114,134,317,332,20,15
228,114,134,293,308,20,15
229,82,100,294,308,18,14
230,130,155,31,49,25,18
231,83,95,7,17,12,10
232,57,78,234,249,21,15
233,191,237,315,350,46,35
234,172,195,13,30,23,17
235,184,217,223,247,33,24
236,217,239,191,208,22,17
237,166,195,47,69,29,22
238,150,165,68,80,15,12
239,102,122,80,95,20,15
240,91,112,151,167,21,16
241,86,102,218,230,16,12
242,88,105,247,260,17,13
243,88,105,256,268,17,12
244,114,146,26,51,32,25
245,117,139,2,19,22,17
246,129,173,322,355,44,33
247,102,125,292,309,23,17
248,104,129,306,326,25,20
249,63,78,210,221,15,11
250,86,105,73,87,19,14
251,95,132,179,206,37,27
252,91,118,258,278,27,20
253,63,85,254,270,22,16
254,64,84,290,305,20,15
255,71,93,315,331,22,16
256,76,96,326,341,20,15
257,33,44,203,211,11,8
258,47,61,248,258,14,10
259,44,56,233,243,12,10
260,49,64,278,289,15,11
261,39,52,93,103,13,10
262,34,45,102,111,11,9
263,72,95,310,327,23,17
264,75,94,331,345,19,14
265,69,92,287,304,23,17
266,63,78,10,21,15,11
267,59,73,292,303,14,11
268,50,68,280,294,18,14
269,87,105,317,330,18,13
270,84,100,294,306,16,12
271,84,99,279,290,15,11
272,79,112,177,201,33,24
273,68,96,103,123,28,20
274,62,82,86,101,20,15
275,71,88,77,90,17,13
276,53,73,12,28,20,16
277,54,76,6,23,22,17
278,62,82,71,86,20,15
279,41,54,162,172,13,10
280,41,51,171,178,10,7
281,38,47,181,188,9,7
282,33,44,196,204,11,8
283,68,93,248,267,25,19
284,114,144,212,234,30,22
285,100,142,269,300,42,31
286,68,98,248,270,30,22
287,68,98,233,256,30,23
288,100,143,308,340,43,32
289,137,161,13,30,24,17
290,124,140,61,73,16,12
291,140,161,73,88,21,15
292,144,161,62,76,17,14
293,114,135,323,339,21,16
294,116,131,118,129,15,11
295,119,139,93,109,20,16
296,89,117,305,326,28,21
297,88,115,291,311,27,20
298,55,76,198,214,21,16
299,56,75,212,226,19,14
300,44,61,188,201,17,13
301,40,57,177,190,17,13
302,97,127,83,106,30,23
303,98,124,63,83,26,20
304,98,120,125,141,22,16
305,93,112,145,159,19,14
306,93,117,157,176,24,19
307,68,84,3,15,16,12
308,109,135,222,242,26,20
309,107,135,204,225,28,21
310,89,107,176,190,18,14
311,119,145,109,129,26,20
312,194,237,274,306,43,32
313,206,237,253,276,31,23
314,107,127,218,233,20,15
315,147,178,122,145,31,23
316,152,179,116,137,27,21
317,142,165,67,84,23,17
318,147,170,53,70,23,17
319,144,166,22,38,22,16
320,145,172,11,31,27,20
321,146,162,37,50,16,13
322,161,176,16,27,15,11
323,186,208,2,19,22,17
324,143,159,32,44,16,12
325,100,133,132,157,33,25
326,89,120,216,239,31,23
327,77,106,302,323,29,21
328,91,120,316,338,29,22
329,95,120,326,344,25,18
330,92,117,338,357,25,19
331,51,73,276,292,22,16
332,78,95,182,195,17,13
333,127,151,1,19,24,18
334,88,112,311,330,24,19
335,85,101,288,300,16,12
336,142,172,169,192,30,23
337,117,139,196,213,22,17
338,94,107,257,267,13,10
339,125,144,328,342,19,14
340,156,187,307,330,31,23
341,149,186,46,73,37,27
342,150,180,13,36,30,23
343,141,161,8,23,20,15
344,142,161,17,32,19,15
345,162,185,135,152,23,17
346,124,136,122,131,12,9
347,149,165,75,87,16,12
348,120,129,233,240,9,7
349,121,131,152,159,10,7
350,117,125,181,187,8,6
351,93,119,309,328,26,19
352,70,95,271,289,25,18
353,76,101,243,261,25,18
354,101,127,10,29,26,19
355,104,122,4,18,18,14
356,47,61,152,162,14,10
357,155,170,36,48,15,12
358,159,170,31,39,11,8
359,159,171,25,35,12,10
360,93,132,332,361,39,29
361,92,124,291,315,32,24
362,32,45,19,29,13,10
363,34,48,8,18,14,10
364,58,81,62,80,23,18
365,58,85,46,66,27,20
366,66,92,4,23,26,19
367,27,44,75,88,17,13
368,65,86,287,303,21,16
369,101,127,337,356,26,19
370,81,94,276,286,13,10
371,82,97,266,277,15,11
372,106,132,0,20,26,20
373,96,115,43,57,19,14
374,141,187,241,276,46,35
375,120,151,194,217,31,23
376,107,137,219,242,30,23
377,97,122,291,310,25,19
378,100,129,317,338,29,21
379,92,109,181,194,17,13
380,93,124,286,310,31,24
381,84,119,270,296,35,26
382,44,56,151,160,12,9
383,44,57,140,150,13,10
384,40,50,182,190,10,8
385,144,173,146,167,29,21
386,146,169,69,87,23,18
387,124,142,307,320,18,13
388,94,105,249,257,11,8
389,93,102,237,244,9,7
390,95,102,225,231,7,6
391,92,102,230,237,10,7
392,113,124,122,131,11,9
393,110,122,137,146,12,9
394,144,171,188,207,27,19
395,144,200,196,238,56,42
396,185,238,208,248,53,40
397,170,222,221,260,52,39
398,90,119,316,337,29,21
399,74,97,271,288,23,17
400,67,85,223,237,18,14
401,172,222,282,319,50,37
402,197,231,278,303,34,25
403,173,227,254,294,54,40
404,160,203,263,295,43,32
405,68,88,283,298,20,15
406,58,78,237,252,20,15
407,140,168,212,234,28,22
408,100,123,233,251,23,18
409,109,142,324,348,33,24
410,114,144,335,358,30,23
411,57,78,233,249,21,16
412,27,41,82,92,14,10
413,41,57,177,189,16,12
414,72,94,264,280,22,16
415,171,193,69,86,22,17
416,158,178,74,90,20,16
417,153,170,87,100,17,13
418,186,217,21,44,31,23
419,124,132,152,157,8,5
420,74,90,11,23,16,12
421,90,112,278,293,22,15
422,81,102,214,229,21,15
423,57,70,201,211,13,10
424,46,58,190,198,12,8
425,87,104,67,80,17,13
426,76,90,280,291,14,11
427,134,165,50,74,31,24
428,76,87,284,292,11,8
429,79,93,-1,10,14,11
430,70,83,16,26,13,10
431,80,101,261,276,21,15
432,80,99,276,291,19,15
433,135,166,7,30,31,23
434,89,107,100,114,18,14
435,139,154,37,49,15,12
436,141,151,52,60,10,8
437,159,183,69,87,24,18
438,133,147,119,130,14,11
439,129,142,219,229,13,10
440,124,135,227,235,11,8
441,161,190,82,103,29,21
442,139,151,103,113,12,10
443,132,146,141,152,14,11
444,148,164,71,84,16,13
445,93,115,90,106,22,16
446,86,107,128,144,21,16
447,97,118,28,44,21,16
448,87,106,75,89,19,14
449,69,80,25,33,11,8
450,68,80,43,52,12,9
451,105,139,140,165,34,25
452,110,141,172,195,31,23
453,102,124,238,254,22,16
454,100,123,226,243,23,17
455,102,127,82,100,25,18
456,78,96,145,159,18,14
457,103,129,211,231,26,20
458,102,132,14,36,30,22
459,105,129,283,301,24,18
460,134,164,7,30,30,23
461,61,76,14,25,15,11
462,94,123,187,209,29,22
463,107,130,165,183,23,18
464,105,129,154,172,24,18
465,105,132,115,136,27,21
466,107,132,103,122,25,19
467,102,125,88,105,23,17
468,98,122,3,21,24,18
469,79,95,162,174,16,12
470,90,111,178,194,21,16
471,98,124,63,82,26,19
472,141,162,6,22,21,16
473,137,162,90,109,25,19
474,109,120,130,139,11,9
475,108,120,141,150,12,9
476,127,166,240,269,39,29
477,134,160,282,301,26,19
478,130,157,298,318,27,20
479,128,169,315,346,41,31
480,144,178,337,363,34,26
481,71,88,100,112,17,12
482,83,101,259,272,18,13
483,76,96,275,289,20,14
484,77,94,214,227,17,13
485,73,88,118,130,15,12
486,46,54,175,181,8,6
487,45,53,171,177,8,6
488,104,130,154,174,26,20
489,90,110,181,196,20,15
490,91,107,164,176,16,12
491,94,108,174,184,14,10
492,102,124,157,173,22,16
493,142,176,263,289,34,26
494,167,216,320,357,49,37
495,127,158,327,349,31,22
496,141,178,268,296,37,28
497,93,113,296,311,20,15
498,98,114,332,344,16,12
499,132,164,8,31,32,23
500,67,76,150,157,9,7
501,87,110,316,333,23,17
502,147,186,299,328,39,29
503,75,86,79,88,11,9
504,190,239,264,300,49,36
505,98,133,299,326,35,27
506,111,145,320,346,34,26
507,44,56,280,289,12,9
508,41,52,244,252,11,8
509,38,47,182,189,9,7
510,52,66,106,117,14,11
511,117,134,321,333,17,12
512,136,154,15,29,18,14
513,123,139,62,73,16,11
514,85,102,180,192,17,12
515,86,102,171,183,16,12
516,129,158,138,160,29,22
517,136,168,126,151,32,25
518,132,159,103,123,27,20
519,132,166,0,25,34,25
520,71,83,10,19,12,9
521,66,79,20,30,13,10
522,148,176,314,335,28,21
523,134,152,247,260,18,13
524,145,166,265,280,21,15
525,132,158,232,251,26,19
526,120,132,179,189,12,10
527,141,163,281,297,22,16
528,122,129,107,112,7,5
529,156,184,26,47,28,21
530,127,143,62,73,16,11
531,124,142,326,339,18,13
532,88,120,300,324,32,24
533,162,230,320,370,68,50
534,37,58,46,62,21,16
535,34,44,65,73,10,8
536,35,45,70,78,10,8
537,128,152,4,22,24,18
538,68,78,21,29,10,8
539,63,81,72,86,18,14
540,48,57,142,148,9,6
541,48,58,136,143,10,7
542,54,65,161,169,11,8
543,52,63,156,164,11,8
544,48,60,36,45,12,9
545,200,232,2,26,32,24
546,132,143,95,103,11,8
547,94,111,308,320,17,12
548,94,108,325,336,14,11
549,102,128,23,42,26,19
550,82,97,24,36,15,12
551,66,80,41,51,14,10
552,127,137,177,185,10,8
553,122,131,189,196,9,7
554,187,212,30,49,25,19
555,139,153,104,115,14,11
556,88,105,178,191,17,13
557,118,149,227,249,31,22
558,117,148,140,163,31,23
559,88,104,335,348,16,13
560,117,132,7,19,15,12
561,68,92,268,286,24,18
562,94,128,60,85,34,25
563,76,96,316,332,20,16
564,69,90,301,317,21,16
565,54,66,280,290,12,10
566,54,68,288,298,14,10
567,79,102,338,355,23,17
568,94,122,331,352,28,21
569,100,129,320,343,29,23
570,59,80,278,293,21,15
571,66,84,307,321,18,14
572,93,120,312,332,27,20
573,98,122,246,264,24,18
574,110,137,17,37,27,20
575,90,110,93,109,20,16
576,87,110,285,302,23,17
577,83,104,330,346,21,16
578,88,111,78,95,23,17
579,87,107,62,77,20,15
580,73,89,106,118,16,12
581,115,146,334,358,31,24
582,107,129,311,328,22,17
583,100,121,306,322,21,16
584,98,122,191,209,24,18
585,100,123,206,223,23,17
586,102,129,222,242,27,20
587,73,97,156,174,24,18
588,56,71,44,55,15,11
589,55,71,33,45,16,12
590,93,122,174,195,29,21
591,103,129,253,272,26,19
592,100,129,329,350,29,21
593,103,124,107,123,21,16
594,97,118,334,350,21,16
595,83,101,284,297,18,13
596,79,95,282,294,16,12
597,81,96,305,316,15,11
598,80,94,315,326,14,11
599,88,107,45,59,19,14
600,99,129,217,239,30,22
601,84,110,249,269,26,20
602,85,107,299,316,22,17
603,114,146,271,296,32,25
604,107,141,14,39,34,25
605,112,141,0,22,29,22
606,44,58,169,179,14,10
607,53,73,295,310,20,15
608,62,84,321,337,22,16
609,39,51,186,195,12,9
610,61,85,245,262,24,17
611,51,71,235,249,20,14
612,139,154,161,173,15,12
613,115,124,175,183,9,8
614,125,134,124,131,9,7
615,132,142,113,120,10,7
616,146,183,122,150,37,28
617,115,142,146,165,27,19
618,118,140,133,150,22,17
619,88,106,181,194,18,13
620,85,102,168,180,17,12
621,79,102,271,288,23,17
622,63,77,215,226,14,11
623,56,66,160,167,10,7
624,50,61,145,153,11,8
625,59,70,22,30,11,8
626,45,54,60,67,9,7
627,86,109,84,101,23,17
628,93,117,316,334,24,18
629,139,157,220,234,18,14
630,134,151,204,217,17,13
631,160,188,320,341,28,21
632,120,137,326,338,17,12
633,139,162,339,356,23,17
634,129,150,247,263,21,16
635,125,144,186,200,19,14
636,58,76,299,313,18,14
637,54,71,290,303,17,13
638,34,44,126,133,10,7
639,37,47,80,87,10,7
640,78,105,246,267,27,21
641,80,107,230,250,27,20
642,87,112,207,226,25,19
643,32,46,62,72,14,10
644,32,44,77,86,12,9
645,88,119,334,357,31,23
646,90,118,321,342,28,21
647,83,115,68,91,32,23
648,56,71,79,90,15,11
649,60,73,92,102,13,10
650,32,44,188,197,12,9
651,32,41,202,210,9,8
652,31,41,211,218,10,7
653,26,35,245,252,9,7
654,39,49,174,182,10,8
655,115,149,122,147,34,25
656,78,98,282,297,20,15
657,78,89,247,255,11,8
658,78,90,261,269,12,8
659,87,102,64,75,15,11
660,86,103,80,92,17,12
661,139,173,66,91,34,25
662,115,139,9,27,24,18
663,88,107,131,145,19,14
664,87,107,115,131,20,16
665,80,93,248,258,13,10
666,69,81,168,177,12,9
667,76,87,117,125,11,8
668,93,112,25,38,19,13
669,89,104,60,71,15,11
670,146,189,89,121,43,32
671,108,129,46,62,21,16
672,88,118,134,156,30,22
673,74,98,261,279,24,18
674,78,100,320,337,22,17
675,66,90,305,323,24,18
676,87,110,334,352,23,18
677,49,63,54,64,14,10
678,44,56,276,286,12,10
679,68,80,151,159,12,8
680,67,74,147,153,7,6
681,70,81,124,132,11,8
682,152,196,72,105,44,33
683,141,177,6,33,36,27
684,80,93,263,273,13,10
685,76,106,168,190,30,22
686,64,90,199,218,26,19
687,119,154,331,358,35,27
688,58,80,223,240,22,17
689,48,69,192,208,21,16
690,50,73,207,224,23,17
691,31,44,20,30,13,10
692,34,43,14,21,9,7
693,27,38,93,102,11,9
694,115,142,127,147,27,20
695,146,181,194,220,35,26
696,142,171,185,206,29,21
697,134,164,184,206,30,22
698,146,175,126,147,29,21
699,147,168,220,236,21,16
700,139,162,256,274,23,18
701,104,118,233,244,14,11
702,159,188,1,22,29,21
703,163,196,296,321,33,25
704,153,176,314,331,23,17
705,110,123,117,127,13,10
706,142,173,185,209,31,24
707,90,110,172,187,20,15
708,75,90,194,205,15,11
709,75,92,182,195,17,13
710,90,107,159,172,17,13
711,80,93,256,266,13,10
712,182,208,59,79,26,20
713,142,159,101,113,17,12
714,117,130,260,270,13,10
715,144,164,86,101,20,15
716,112,124,177,186,12,9
717,92,110,334,348,18,14
718,83,102,21,36,19,15
719,95,110,324,335,15,11
720,102,125,17,35,23,18
721,98,113,72,83,15,11
722,95,117,180,196,22,16
723,92,110,167,181,18,14
724,86,105,230,243,19,13
725,88,107,215,229,19,14
726,83,101,20,34,18,14
727,141,181,207,237,40,30
728,139,178,253,282,39,29
729,153,203,273,310,50,37
730,193,237,290,323,44,33
731,194,237,265,297,43,32
732,184,236,323,362,52,39
733,149,192,305,338,43,33
734,101,127,237,256,26,19
735,100,124,195,213,24,18
736,95,118,185,203,23,18
737,101,129,163,184,28,21
738,83,106,160,178,23,18
739,141,176,137,163,35,26
740,199,239,13,44,40,31
741,121,145,37,55,24,18
742,83,110,307,328,27,21
743,116,145,184,206,29,22
744,154,193,220,250,39,30
745,128,159,300,323,31,23
746,146,176,324,346,30,22
747,116,147,230,253,31,23
748,100,127,230,250,27,20
749,100,127,273,293,27,20
750,116,135,271,286,19,15
751,120,147,256,277,27,21
752,95,124,172,194,29,22
753,102,123,330,345,21,15
754,131,159,317,339,28,22
755,141,163,203,220,22,17
756,138,154,217,229,16,12
757,136,154,233,247,18,14
758,148,172,335,353,24,18
759,143,168,310,329,25,19
760,139,161,291,307,22,16
761,120,140,329,344,20,15
762,131,146,146,157,15,11
763,144,171,43,63,27,20
764,118,129,118,126,11,8
765,121,138,287,300,17,13
766,127,142,218,230,15,12
767,136,164,137,158,28,21
768,132,152,50,64,20,14
769,127,142,70,81,15,11
770,112,128,98,110,16,12
771,128,155,48,68,27,20
772,134,160,33,52,26,19
773,82,101,4,19,19,15
774,63,76,213,222,13,9
775,129,168,128,157,39,29
776,115,141,18,38,26,20
777,107,134,33,53,27,20
778,83,105,80,97,22,17
779,108,132,10,28,24,18
780,110,139,228,250,29,22
781,127,158,1,24,31,23
782,72,90,45,58,18,13
783,107,137,281,304,30,23
784,82,105,214,231,23,17
785,77,103,227,247,26,20
786,84,105,251,267,21,16
787,86,108,272,288,22,16
788,95,119,116,134,24,18
789,102,124,38,54,22,16
790,88,109,50,66,21,16
791,86,105,63,77,19,14
792,86,108,82,99,22,17
793,171,187,19,31,16,12
794,134,149,41,52,15,11
795,97,120,33,50,23,17
796,93,111,332,346,18,14
797,104,128,11,29,24,18
798,198,233,12,38,35,26
799,145,165,89,104,20,15
800,132,173,101,132,41,31
801,79,100,251,267,21,16
802,60,78,218,231,18,13
803,56,81,209,227,25,18
804,105,138,332,357,33,25
805,118,149,327,350,31,23
806,75,98,216,234,23,18
807,98,122,324,342,24,18
808,93,120,334,355,27,21
809,71,93,263,280,22,17
810,91,117,304,323,26,19
811,93,110,278,290,17,12
812,90,108,252,265,18,13
813,87,105,51,64,18,13
814,85,108,329,346,23,17
815,171,218,267,303,47,36
816,95,119,79,97,24,18
817,98,122,138,155,24,17
818,96,125,29,51,29,22
819,99,121,7,23,22,16
820,111,139,189,210,28,21
821,112,144,204,228,32,24
822,128,160,252,275,32,23
823,77,98,158,174,21,16
824,105,123,271,284,18,13
825,100,129,315,337,29,22
826,87,110,80,97,23,17
827,85,105,209,224,20,15
828,83,102,201,214,19,13
829,83,105,272,289,22,17
830,86,106,264,279,20,15
831,64,80,112,124,16,12
832,73,98,3,21,25,18
833,48,66,238,251,18,13
834,51,63,123,132,12,9
835,148,184,82,109,36,27
836,144,174,103,126,30,23
837,139,166,122,141,27,19
838,142,166,31,49,24,18
839,145,168,25,42,23,17
840,136,157,3,19,21,16
841,41,58,176,189,17,13
842,30,43,27,37,13,10
843,29,41,18,28,12,10
844,29,42,9,19,13,10
845,186,230,248,281,44,33
846,150,188,80,109,38,29
847,157,197,65,95,40,30
848,125,151,9,28,26,19
849,100,127,43,63,27,20
850,87,106,235,249,19,14
851,88,111,269,286,23,17
852,88,107,262,276,19,14
853,81,98,257,270,17,13
854,65,78,258,269,13,11
855,71,88,111,125,17,14
856,142,183,21,52,41,31
857,101,140,293,322,39,29
858,103,139,323,350,36,27
859,76,109,305,330,33,25
860,80,105,335,354,25,19
861,33,45,19,28,12,9
862,40,54,184,194,14,10
863,97,117,97,112,20,15
864,95,120,75,94,25,19
865,115,142,201,221,27,20
866,95,119,44,62,24,18
867,96,122,226,246,26,20
868,79,96,164,177,17,13
869,92,114,178,194,22,16
870,85,100,330,342,15,12
871,85,100,322,333,15,11
872,79,93,9,19,14,10
873,69,95,239,258,26,19
874,112,136,178,196,24,18
875,105,128,229,246,23,17
876,95,114,124,138,19,14
877,71,85,149,161,14,12
878,105,128,296,313,23,17
879,103,122,337,351,19,14
880,95,120,315,333,25,18
881,101,124,273,291,23,18
882,173,208,91,118,35,27
883,144,161,90,103,17,13
884,161,182,49,65,21,16
885,163,186,69,87,23,18
886,175,216,315,346,41,31
887,144,166,153,169,22,16
888,171,200,194,215,29,21
889,125,148,334,352,23,18
890,167,193,48,67,26,19
891,182,208,11,30,26,19
892,118,127,129,136,9,7
893,158,170,26,35,12,9
894,140,153,39,48,13,9
895,84,112,262,283,28,21
896,87,117,9,32,30,23
897,117,152,60,86,35,26
898,95,131,316,343,36,27
899,69,91,261,277,22,16
900,67,87,243,257,20,14
901,42,61,176,190,19,14
902,33,50,92,105,17,13
903,142,182,329,359,40,30
904,208,236,308,330,28,22
905,198,234,333,360,36,27
906,132,161,83,105,29,22
907,100,122,252,269,22,17
908,78,95,247,260,17,13
909,55,67,186,195,12,9
910,54,66,179,189,12,10
911,56,69,170,181,13,11
912,147,171,35,52,24,17
913,154,178,150,168,24,18
914,154,179,288,307,25,19
915,116,129,108,118,13,10
916,116,129,102,111,13,9
917,180,198,7,21,18,14
918,79,93,180,191,14,11
919,71,79,153,159,8,6
920,71,79,148,154,8,6
921,73,81,142,148,8,6
922,87,99,258,267,12,9
923,90,105,288,300,15,12
924,105,124,2,16,19,14
925,107,129,15,31,22,16
926,94,112,30,44,18,14
927,84,99,270,281,15,11
928,136,166,9,32,30,23
929,94,115,47,63,21,16
930,145,166,71,87,21,16
931,168,195,68,88,27,20
932,142,160,96,109,18,13
933,122,161,240,269,39,29
934,97,135,327,356,38,29
935,77,101,277,295,24,18
936,41,61,194,208,20,14
937,46,58,25,35,12,10
938,48,59,17,26,11,9
939,114,137,236,253,23,17
940,108,132,229,247,24,18
941,116,137,11,27,21,16
942,83,104,307,323,21,16
943,80,98,295,308,18,13
944,71,100,154,175,29,21
945,41,56,56,68,15,12
946,44,56,29,38,12,9
947,105,141,202,230,36,28
948,123,156,265,290,33,25
949,80,114,312,338,34,26
950,99,137,287,315,38,28
951,46,67,203,219,21,16
952,28,42,130,140,14,10
953,76,95,252,266,19,14
954,78,98,278,293,20,15
955,60,73,15,25,13,10
956,53,62,20,27,9,7
957,58,73,186,197,15,11
958,50,60,38,45,10,7
959,95,119,306,324,24,18
960,178,207,8,30,29,22
961,160,178,72,86,18,14
962,159,180,65,80,21,15
963,160,179,53,68,19,15
964,144,164,99,113,20,14
965,171,209,113,142,38,29
966,129,159,8,30,30,22
967,98,123,316,336,25,20
968,98,124,302,322,26,20
969,48,58,220,227,10,7
970,154,173,68,83,19,15
971,178,225,244,279,47,35
972,155,193,226,254,38,28
973,149,190,204,235,41,31
974,120,149,205,228,29,23
975,88,112,192,210,24,18
976,102,127,233,251,25,18
977,143,169,196,216,26,20
978,146,177,214,238,31,24
979,149,174,225,244,25,19
980,126,144,66,79,18,13
981,119,132,109,119,13,10
982,112,127,118,128,15,10
983,106,117,140,149,11,9
984,96,105,217,223,9,6
985,82,102,178,194,20,16
986,78,101,220,237,23,17
987,83,105,248,264,22,16
988,85,108,270,287,23,17
989,88,109,282,298,21,16
990,72,92,98,113,20,15
991,56,69,166,176,13,10
992,56,68,143,152,12,9
993,62,76,257,267,14,10
994,102,139,20,48,37,28
995,89,127,27,55,38,28
996,75,102,42,63,27,21
