,topy,boty,topx,botx,height,width
119,22,40,67,80,18,13
120,46,65,18,32,19,14
121,141,154,71,80,13,9
122,163,176,88,98,13,10
123,173,190,34,47,17,13
124,29,42,144,153,13,9
125,106,118,192,201,12,9
126,107,122,236,247,15,11
127,95,116,158,174,21,16
128,195,217,232,248,22,16
129,193,219,122,141,26,19
130,51,65,199,210,14,11
131,51,63,284,294,12,10
132,103,134,300,323,31,23
133,166,187,319,334,21,15
134,122,141,22,36,19,14
135,130,151,153,169,21,16
136,191,213,135,152,22,17
137,213,235,203,219,22,16
138,129,144,275,286,15,11
139,2,26,28,45,24,17
140,4,21,233,246,17,13
141,5,23,285,299,18,14
142,32,47,261,273,15,12
143,50,56,186,190,6,4
144,42,54,221,230,12,9
145,50,66,294,306,16,12
146,46,64,277,291,18,14
147,44,58,258,269,14,11
148,61,75,264,274,14,10
149,66,90,209,227,24,18
150,66,90,100,118,24,18
151,40,58,155,169,18,14
152,26,40,24,35,14,11
153,32,46,132,143,14,11
154,32,46,168,178,14,10
155,25,41,203,215,16,12
156,29,49,303,318,20,15
157,25,39,336,346,14,10
158,24,36,298,306,12,8
159,107,133,54,74,26,20
160,144,174,98,121,30,23
161,122,149,141,161,27,20
162,56,73,167,180,17,13
163,29,41,36,45,12,9
164,56,71,135,146,15,11
165,134,160,62,81,26,19
166,104,122,309,322,18,13
167,132,152,175,190,20,15
168,39,54,153,164,15,11
169,30,42,87,96,12,9
170,44,59,102,114,15,12
171,5,19,209,220,14,11
172,112,127,139,151,15,12
173,113,129,119,130,16,11
174,134,154,106,120,20,14
175,110,129,221,235,19,14
176,92,115,294,311,23,17
177,108,133,262,281,25,19
178,108,129,175,190,21,15
179,71,96,325,344,25,19
180,33,51,332,346,18,14
181,54,72,295,309,18,14
182,73,91,254,267,18,13
183,83,102,211,225,19,14
184,71,88,147,160,17,13
185,27,51,105,124,24,19
186,88,104,81,94,16,13
187,70,95,239,257,25,18
188,102,117,169,181,15,12
189,149,169,211,226,20,15
190,198,213,127,138,15,11
191,161,176,87,98,15,11
192,93,109,35,47,16,12
193,19,33,23,33,14,10
194,8,24,108,121,16,13
195,17,32,163,174,15,11
196,31,52,312,328,21,16
197,116,135,71,85,19,14
198,115,137,36,53,22,17
199,41,65,44,62,24,18
200,19,40,70,85,21,15
201,20,39,102,116,19,14
202,44,57,207,217,13,10
203,36,52,176,188,16,12
204,19,40,207,222,21,15
205,39,62,298,315,23,17
206,32,53,323,339,21,16
207,79,95,327,339,16,12
208,58,80,326,342,22,16
209,68,87,223,237,19,14
210,80,96,162,175,16,13
211,166,191,20,39,25,19
212,77,101,3,21,24,18
213,46,73,14,34,27,20
214,43,67,100,119,24,19
215,54,78,67,85,24,18
216,59,80,82,98,21,16
217,110,139,255,276,29,21
218,113,136,319,336,23,17
219,68,91,6,23,23,17
220,103,125,159,176,22,17
221,166,200,321,346,34,25
222,62,89,170,191,27,21
223,83,102,229,244,19,15
224,54,67,58,68,13,10
225,54,66,83,92,12,9
226,61,76,143,153,15,10
227,66,84,107,121,18,14
228,120,139,108,121,19,13
229,110,132,15,31,22,16
230,134,159,190,209,25,19
231,176,225,124,161,49,37
232,96,122,320,339,26,19
233,30,39,260,267,9,7
234,78,94,264,276,16,12
235,77,101,244,262,24,18
236,33,42,220,227,9,7
237,32,46,197,208,14,11
238,68,81,28,38,13,10
239,49,63,99,110,14,11
240,57,71,139,150,14,11
241,68,85,179,193,17,14
242,71,85,171,182,14,11
243,46,59,236,246,13,10
244,129,160,5,28,31,23
245,111,128,59,72,17,13
246,71,91,137,152,20,15
247,211,232,246,262,21,16
248,144,164,334,349,20,15
249,43,63,138,153,20,15
250,39,55,115,127,16,12
251,119,157,114,142,38,28
252,100,137,222,250,37,28
253,68,95,273,293,27,20
254,47,73,240,260,26,20
255,32,51,70,84,19,14
256,39,55,138,150,16,12
257,32,52,156,171,20,15
258,14,36,3,20,22,17
259,44,66,49,65,22,16
260,78,102,113,130,24,17
261,58,73,96,107,15,11
262,61,77,70,81,16,11
263,75,92,7,19,17,12
264,73,100,226,247,27,21
265,132,173,267,297,41,30
266,162,200,69,98,38,29
267,90,114,179,197,24,18
268,137,153,132,145,16,13
269,114,131,156,169,17,13
270,63,81,313,326,18,13
271,50,66,262,274,16,12
272,47,60,95,104,13,9
273,88,100,200,209,12,9
274,88,106,154,168,18,14
275,69,90,210,226,21,16
276,69,85,269,281,16,12
277,87,107,97,112,20,15
278,81,106,63,82,25,19
279,56,79,120,137,23,17
280,38,57,170,184,19,14
281,166,200,319,345,34,26
282,114,130,30,43,16,13
283,144,171,9,30,27,21
284,45,59,221,232,14,11
285,54,73,249,263,19,14
286,60,81,197,213,21,16
287,36,46,193,201,10,8
288,110,131,242,257,21,15
289,117,139,199,215,22,16
290,152,178,76,96,26,20
291,95,124,260,282,29,22
292,41,50,51,58,9,7
293,115,139,32,50,24,18
294,117,137,112,127,20,15
295,90,108,267,280,18,13
296,85,104,229,244,19,15
297,67,88,185,201,21,16
298,63,82,130,144,19,14
299,56,75,80,94,19,14
300,60,73,46,56,13,10
301,34,47,99,110,13,11
302,59,74,210,222,15,12
303,154,175,183,199,21,16
304,101,126,156,174,25,18
305,102,124,323,340,22,17
306,95,112,304,318,17,14
307,95,111,4,16,16,12
308,105,132,33,53,27,20
309,33,48,66,77,15,11
310,15,33,116,129,18,13
311,35,56,209,225,21,16
312,63,75,220,228,12,8
313,80,93,262,272,13,10
314,144,168,7,26,24,19
315,174,203,321,343,29,22
316,160,180,113,128,20,15
317,121,151,237,260,30,23
318,2,11,261,268,9,7
319,34,41,229,235,7,6
320,36,44,191,197,8,6
321,34,41,210,216,7,6
322,85,100,30,41,15,11
323,93,109,7,19,16,12
324,139,153,310,321,14,11
325,3,19,243,255,16,12
326,166,183,25,38,17,13
327,223,237,57,67,14,10
328,56,76,316,331,20,15
329,61,89,240,260,28,20
330,73,90,52,65,17,13
331,156,185,175,197,29,22
332,0,18,173,187,18,14
333,22,33,82,90,11,8
334,79,97,159,172,18,13
335,120,139,166,180,19,14
336,176,198,29,45,22,16
337,68,88,275,289,20,14
338,66,85,248,262,19,14
339,112,139,31,51,27,20
340,107,132,148,167,25,19
341,156,201,57,91,45,34
342,189,230,125,155,41,30
343,166,203,146,173,37,27
344,90,122,253,277,32,24
345,78,107,274,296,29,22
346,60,76,143,155,16,12
347,56,76,72,87,20,15
348,34,53,24,38,19,14
349,40,50,57,64,10,7
350,39,52,71,81,13,10
351,34,52,113,126,18,13
352,39,62,153,170,23,17
353,39,63,171,190,24,19
354,49,76,277,297,27,20
355,112,142,100,123,30,23
356,128,166,291,319,38,28
357,83,107,54,73,24,19
358,83,96,80,90,13,10
359,63,80,46,59,17,13
360,70,87,110,122,17,12
361,102,120,182,196,18,14
362,101,119,187,200,18,13
363,207,231,133,151,24,18
364,129,179,2,39,50,37
365,130,182,19,58,52,39
366,45,63,256,270,18,14
367,33,53,318,333,20,15
368,4,17,308,317,13,9
369,5,20,283,294,15,11
370,34,49,221,232,15,11
371,32,48,238,250,16,12
372,28,43,181,192,15,11
373,105,134,88,110,29,22
374,117,157,55,85,40,30
375,164,197,250,274,33,24
376,95,120,158,176,25,18
377,80,102,124,140,22,16
378,29,44,108,120,15,12
379,24,46,43,59,22,16
380,29,51,0,16,22,16
381,130,162,223,247,32,24
382,102,118,191,204,16,13
383,144,158,176,186,14,10
384,151,171,126,141,20,15
385,96,127,290,313,31,23
386,59,73,159,169,14,10
387,58,71,109,119,13,10
388,111,130,173,187,19,14
389,68,83,137,148,15,11
390,66,80,150,160,14,10
391,93,109,88,101,16,13
392,20,33,240,250,13,10
393,27,42,285,296,15,11
394,52,69,244,256,17,12
395,38,51,213,223,13,10
396,41,58,155,168,17,13
397,48,66,125,139,18,14
398,32,51,98,111,19,13
399,149,170,325,341,21,16
400,59,80,33,48,21,15
401,43,63,91,106,20,15
402,29,41,130,140,12,10
403,17,30,163,173,13,10
404,15,26,218,226,11,8
405,25,37,249,258,12,9
406,52,66,250,260,14,10
407,102,124,177,193,22,16
408,115,138,33,50,23,17
409,188,217,49,72,29,23
410,140,171,324,347,31,23
411,154,180,281,301,26,20
412,160,181,300,315,21,15
413,146,166,229,244,20,15
414,141,160,271,286,19,15
415,148,162,103,114,14,11
416,183,200,114,128,17,14
417,134,154,175,190,20,15
418,132,146,113,124,14,11
419,149,166,67,80,17,13
420,133,144,84,91,11,7
421,118,130,148,157,12,9
422,76,90,195,205,14,10
423,41,52,182,190,11,8
424,33,49,242,254,16,12
425,30,44,255,266,14,11
426,143,171,227,248,28,21
427,46,61,210,222,15,12
428,57,76,173,188,19,15
429,142,171,43,64,29,21
430,125,159,46,71,34,25
431,127,164,3,31,37,28
432,83,122,29,58,39,29
433,102,122,184,199,20,15
434,65,86,198,214,21,16
435,95,119,113,131,24,18
436,105,128,125,142,23,17
437,40,61,210,225,21,15
438,51,72,150,165,21,15
439,52,66,113,123,14,10
440,65,84,46,61,19,15
441,46,62,260,272,16,12
442,87,107,301,316,20,15
443,122,137,246,258,15,12
444,170,189,102,117,19,15
445,71,98,259,279,27,20
446,116,139,303,320,23,17
447,40,56,194,206,16,12
448,36,68,205,229,32,24
449,37,62,234,253,25,19
450,195,231,81,107,36,26
451,158,206,5,41,48,36
452,86,124,34,62,38,28
453,58,85,120,141,27,21
454,38,66,144,165,28,21
455,44,73,273,295,29,22
456,88,114,253,272,26,19
457,88,115,163,184,27,21
458,84,105,191,207,21,16
459,198,229,55,78,31,23
460,140,166,233,253,26,20
461,115,135,310,325,20,15
462,78,98,244,259,20,15
463,76,95,215,229,19,14
464,71,85,129,141,14,12
465,83,104,90,105,21,15
466,111,137,68,87,26,19
467,51,71,330,344,20,14
468,53,73,286,301,20,15
469,54,74,255,270,20,15
470,46,65,218,231,19,13
471,36,58,184,201,22,17
472,44,60,65,76,16,11
473,48,68,26,41,20,15
474,122,147,147,166,25,19
475,32,49,151,164,17,13
476,205,225,63,77,20,14
477,115,137,121,137,22,16
478,111,129,227,241,18,14
479,115,135,256,271,20,15
480,131,170,313,343,39,30
481,99,133,138,163,34,25
482,149,185,174,200,36,26
483,190,221,118,141,31,23
484,111,138,170,191,27,21
485,138,173,312,339,35,27
486,61,80,250,265,19,15
487,44,61,265,278,17,13
488,24,44,137,152,20,15
489,34,58,88,106,24,18
490,105,134,222,244,29,22
491,73,98,228,247,25,19
492,132,146,282,292,14,10
493,134,149,251,262,15,11
494,80,103,181,198,23,17
495,80,98,147,161,18,14
496,155,188,12,37,33,25
497,106,131,54,73,25,19
498,56,76,90,106,20,16
499,38,62,7,25,24,18
500,46,71,40,59,25,19
501,24,48,166,185,24,19
502,60,82,168,184,22,16
503,39,68,306,329,29,23
504,39,70,324,347,31,23
505,27,44,119,132,17,13
506,32,52,62,77,20,15
507,91,112,8,24,21,16
508,69,86,5,18,17,13
509,104,131,229,249,27,20
510,58,79,241,256,21,15
511,54,71,219,231,17,12
512,42,60,307,320,18,13
513,79,98,181,195,19,14
514,95,112,111,124,17,13
515,66,77,54,62,11,8
516,61,72,71,79,11,8
517,73,88,157,169,15,12
518,25,42,221,234,17,13
519,68,84,53,64,16,11
520,40,56,131,142,16,11
521,31,46,175,187,15,12
522,32,49,273,286,17,13
523,64,88,64,82,24,18
524,73,95,140,156,22,16
525,129,161,149,172,32,23
526,23,40,53,66,17,13
527,29,47,3,16,18,13
528,18,36,98,112,18,14
529,9,24,266,278,15,12
530,203,234,46,69,31,23
531,171,204,69,94,33,25
532,155,185,115,137,30,22
533,158,188,32,55,30,23
534,198,235,34,62,37,28
535,168,208,103,133,40,30
536,127,146,109,124,19,15
537,151,172,198,214,21,16
538,122,138,263,274,16,11
539,123,138,234,246,15,12
540,117,143,45,64,26,19
541,95,109,121,131,14,10
542,107,134,202,222,27,20
543,132,156,287,304,24,17
544,74,88,117,128,14,11
545,72,87,27,38,15,11
546,87,109,196,213,22,17
547,192,221,237,259,29,22
548,85,109,326,344,24,18
549,101,124,7,24,23,17
550,48,66,289,303,18,14
551,14,32,317,330,18,13
552,28,53,200,219,25,19
553,30,54,140,157,24,17
554,50,66,145,157,16,12
555,51,63,132,141,12,9
556,29,39,109,117,10,8
557,32,41,70,78,9,8
558,24,37,77,88,13,11
559,34,44,185,193,10,8
560,35,46,215,223,11,8
561,51,64,212,221,13,9
562,35,46,243,251,11,8
563,27,43,269,281,16,12
564,27,42,277,288,15,11
565,65,83,225,239,18,14
566,110,136,301,321,26,20
567,34,58,324,342,24,18
568,26,32,223,227,6,4
569,34,43,139,146,9,7
570,72,83,49,57,11,8
571,42,54,115,124,12,9
572,54,67,261,270,13,9
573,54,66,308,316,12,8
574,37,48,252,260,11,8
575,17,25,216,222,8,6
576,38,47,222,229,9,7
577,41,51,239,247,10,8
578,55,67,56,65,12,9
579,33,50,303,316,17,13
580,78,91,28,38,13,10
581,70,91,103,119,21,16
582,46,62,8,20,16,12
583,32,49,44,56,17,12
584,65,85,49,64,20,15
585,27,42,8,19,15,11
586,23,32,222,229,9,7
587,24,37,312,322,13,10
588,111,135,321,339,24,18
589,98,129,128,151,31,23
590,88,102,144,155,14,11
591,88,106,93,107,18,14
592,80,99,53,67,19,14
593,83,102,69,83,19,14
594,27,47,316,331,20,15
595,50,64,223,234,14,11
596,46,60,128,138,14,10
597,43,53,144,152,10,8
598,22,34,119,128,12,9
599,22,37,76,87,15,11
600,47,63,78,90,16,12
601,64,85,230,246,21,16
602,90,103,181,191,13,10
603,126,156,296,319,30,23
604,44,60,6,17,16,11
605,68,96,195,217,28,22
606,53,83,164,187,30,23
607,84,112,74,94,28,20
608,34,56,113,129,22,16
609,37,67,64,86,30,22
610,47,74,4,25,27,21
611,104,139,34,60,35,26
612,85,124,120,149,39,29
613,144,197,211,251,53,40
614,85,127,183,215,42,32
615,62,101,198,227,39,29
616,46,85,270,299,39,29
617,115,137,292,308,22,16
618,90,111,304,320,21,16
619,60,75,318,329,15,11
620,46,66,324,339,20,15
621,60,85,50,68,25,18
622,30,47,77,90,17,13
623,97,118,135,151,21,16
624,105,121,44,56,16,12
625,118,136,25,39,18,14
626,144,166,192,209,22,17
627,196,216,270,285,20,15
628,168,188,9,24,20,15
629,171,190,35,49,19,14
630,137,160,292,309,23,17
631,95,121,238,258,26,20
632,112,139,162,182,27,20
633,88,112,58,77,24,19
634,46,61,5,16,15,11
635,41,58,150,163,17,13
636,31,49,115,128,18,13
637,36,66,272,295,30,23
638,17,39,321,337,22,16
639,24,43,151,165,19,14
640,32,52,23,38,20,15
641,17,32,45,56,15,11
642,25,41,82,93,16,11
643,85,104,19,34,19,15
644,56,71,30,41,15,11
645,33,49,18,29,16,11
646,49,64,2,13,15,11
647,54,71,101,114,17,13
648,54,73,171,185,19,14
649,34,49,166,177,15,11
650,32,51,139,153,19,14
651,149,168,234,249,19,15
652,123,154,271,293,31,22
653,179,213,213,239,34,26
654,122,151,14,36,29,22
655,36,66,257,279,30,22
656,36,62,297,316,26,19
657,25,39,107,117,14,10
658,29,44,39,51,15,12
659,159,190,43,66,31,23
660,119,145,30,50,26,20
661,82,105,304,321,23,17
662,71,96,30,49,25,19
663,40,55,71,82,15,11
664,24,36,94,103,12,9
665,29,41,190,199,12,9
666,38,59,256,272,21,16
667,61,79,54,67,18,13
668,34,46,267,277,12,10
669,54,81,290,311,27,21
670,90,105,325,337,15,12
671,77,94,246,259,17,13
672,34,53,162,176,19,14
673,34,45,202,211,11,9
674,5,24,263,278,19,15
675,73,87,11,22,14,11
676,117,135,270,284,18,14
677,90,101,217,226,11,9
678,110,123,138,148,13,10
679,91,110,163,177,19,14
680,93,116,191,208,23,17
681,94,115,276,292,21,16
682,188,209,300,316,21,16
683,159,181,203,219,22,16
684,173,190,227,239,17,12
685,95,113,243,257,18,14
686,76,93,271,284,17,13
687,122,142,35,50,20,15
688,93,110,26,39,17,13
689,61,69,53,59,8,6
690,58,71,63,73,13,10
691,134,149,46,58,15,12
692,116,130,19,30,14,11
693,162,180,35,48,18,13
694,164,182,79,93,18,14
695,173,196,178,195,23,17
696,183,202,7,21,19,14
697,189,207,39,52,18,13
698,64,86,30,46,22,16
699,48,64,113,125,16,12
700,32,48,171,183,16,12
701,30,50,245,260,20,15
702,94,114,69,84,20,15
703,174,205,246,269,31,23
704,174,195,286,302,21,16
705,162,201,300,329,39,29
706,137,157,279,294,20,15
707,151,167,169,182,16,13
708,134,161,94,115,27,21
709,60,85,156,175,25,19
710,58,80,205,221,22,16
711,22,38,213,225,16,12
712,10,26,230,242,16,12
713,17,36,182,196,19,14
714,32,51,64,79,19,15
715,35,58,92,109,23,17
716,86,103,74,87,17,13
717,178,195,46,58,17,12
718,196,228,61,85,32,24
719,137,160,225,242,23,17
720,0,22,208,225,22,17
721,9,38,257,279,29,22
722,46,69,2,20,23,18
723,42,65,68,85,23,17
724,49,70,118,134,21,16
725,59,83,157,175,24,18
726,109,124,117,129,15,12
727,80,103,95,113,23,18
728,84,112,184,205,28,21
729,92,107,236,247,15,11
730,99,114,164,175,15,11
731,121,146,80,98,25,18
732,191,210,150,164,19,14
733,198,224,282,302,26,20
734,199,224,54,73,25,19
735,176,197,22,37,21,15
736,153,171,34,48,18,14
737,117,133,78,90,16,12
738,156,175,201,215,19,14
739,129,148,218,231,19,13
740,176,202,73,92,26,19
741,95,115,120,134,20,14
742,76,91,127,139,15,12
743,46,69,90,107,23,17
744,104,114,200,208,10,8
745,107,117,165,172,10,7
746,98,112,140,151,14,11
747,76,105,96,118,29,22
748,59,73,165,176,14,11
749,51,74,129,147,23,18
750,34,49,47,58,15,11
751,23,44,91,107,21,16
752,20,38,217,230,18,13
753,27,41,313,323,14,10
754,46,67,335,351,21,16
755,116,130,115,125,14,10
756,100,118,274,287,18,13
757,51,67,197,209,16,12
758,21,34,143,154,13,11
759,56,71,24,35,15,11
760,82,98,58,69,16,11
761,124,144,251,266,20,15
762,140,155,44,55,15,11
763,138,152,69,79,14,10
764,120,136,58,69,16,11
765,193,208,21,32,15,11
766,132,144,13,23,12,10
767,107,120,9,19,13,10
768,62,75,51,61,13,10
769,68,93,207,225,25,18
770,94,120,244,263,26,19
771,49,75,149,169,26,20
772,44,64,94,109,20,15
773,58,91,275,300,33,25
774,19,46,275,295,27,20
775,51,73,179,195,22,16
776,29,50,111,126,21,15
777,24,41,224,237,17,13
778,85,107,291,308,22,17
779,113,133,29,44,20,15
780,195,212,80,92,17,12
781,122,146,319,336,24,17
782,68,90,329,345,22,16
783,51,67,145,157,16,12
784,53,73,184,200,20,16
785,37,58,102,117,21,15
786,4,19,148,159,15,11
787,18,40,256,272,22,16
788,107,132,129,147,25,18
789,91,117,48,68,26,20
790,59,82,211,228,23,17
791,61,71,168,176,10,8
792,27,41,227,238,14,11
793,27,42,237,248,15,11
794,73,92,226,240,19,14
795,87,105,179,192,18,13
796,27,41,161,172,14,11
797,102,121,112,126,19,14
798,22,32,135,143,10,8
799,29,51,311,328,22,17
800,51,66,267,278,15,11
801,92,123,284,308,31,24
802,47,66,170,184,19,14
803,67,90,65,82,23,17
804,22,43,255,271,21,16
805,111,129,87,101,18,14
806,142,171,308,329,29,21
807,66,85,24,39,19,15
808,76,102,116,137,26,21
809,139,159,18,33,20,15
810,54,76,197,213,22,16
811,49,79,169,192,30,23
812,38,53,141,152,15,11
813,32,53,72,88,21,16
814,151,171,321,337,20,16
815,53,73,246,261,20,15
816,111,139,88,110,28,22
817,114,140,124,144,26,20
818,191,223,17,41,32,24
819,180,208,294,315,28,21
820,39,61,106,123,22,17
821,26,36,124,131,10,7
822,10,24,109,120,14,11
823,22,34,170,179,12,9
824,25,39,233,243,14,10
825,27,44,287,300,17,13
826,47,58,110,119,11,9
827,48,65,117,129,17,12
828,189,235,24,59,46,35
829,106,150,127,160,44,33
830,76,111,230,257,35,27
831,102,137,307,334,35,27
832,51,80,254,275,29,21
833,43,76,289,314,33,25
834,26,42,260,272,16,12
835,42,52,194,201,10,7
836,34,43,202,209,9,7
837,46,58,164,173,12,9
838,130,151,82,98,21,16
839,120,143,38,56,23,18
840,127,150,8,25,23,17
841,166,186,33,48,20,15
842,210,231,172,188,21,16
843,173,199,183,202,26,19
844,129,153,267,285,24,18
845,98,112,186,196,14,10
846,82,91,243,250,9,7
847,76,90,250,260,14,10
848,29,39,194,201,10,7
849,32,48,118,130,16,12
850,63,81,115,129,18,14
851,80,92,76,85,12,9
852,49,58,65,72,9,7
853,112,129,152,164,17,12
854,128,143,325,337,15,12
855,194,222,302,323,28,21
856,100,124,257,275,24,18
857,88,107,195,209,19,14
858,58,81,144,162,23,18
859,49,73,198,216,24,18
860,47,64,78,90,17,12
861,93,117,289,307,24,18
862,112,131,49,62,19,13
863,100,121,81,97,21,16
864,37,60,38,55,23,17
865,27,45,155,168,18,13
866,32,46,122,134,14,12
867,149,195,134,169,46,35
868,114,168,301,342,54,41
869,73,114,269,300,41,31
870,41,88,291,326,47,35
871,50,68,91,105,18,14
872,32,48,169,181,16,12
873,25,39,253,263,14,10
874,25,42,271,283,17,12
875,46,66,212,227,20,15
876,94,121,34,54,27,20
877,17,34,46,59,17,13
878,17,32,102,113,15,11
879,17,32,116,127,15,11
880,22,34,213,222,12,9
881,90,114,324,342,24,18
882,62,77,46,57,15,11
883,117,152,27,54,35,27
884,98,119,188,204,21,16
885,63,83,194,209,20,15
886,160,183,44,62,23,18
887,49,67,207,221,18,14
888,31,46,141,152,15,11
889,70,94,267,285,24,18
890,95,124,240,262,29,22
891,137,158,301,317,21,16
892,86,109,65,82,23,17
893,73,98,182,201,25,19
894,68,88,317,332,20,15
895,22,42,44,59,20,15
896,15,27,107,116,12,9
897,9,27,9,22,18,13
898,62,73,146,155,11,9
899,170,191,324,340,21,16
900,127,149,121,138,22,17
901,67,90,104,121,23,17
902,63,82,199,213,19,14
903,36,52,27,39,16,12
904,22,42,87,102,20,15
905,35,46,150,157,11,7
906,27,39,135,145,12,10
907,16,32,45,57,16,12
908,115,136,150,166,21,16
909,77,100,187,204,23,17
910,75,95,314,329,20,15
911,135,154,43,57,19,14
912,142,165,172,189,23,17
913,111,139,283,304,28,21
914,204,236,45,69,32,24
915,136,171,17,44,35,27
916,115,127,120,130,12,10
917,128,144,81,93,16,12
918,49,73,90,108,24,18
919,73,90,123,135,17,12
920,72,90,28,42,18,14
921,117,129,234,243,12,9
922,142,158,334,345,16,11
923,126,139,296,306,13,10
924,36,49,160,170,13,10
925,44,61,85,97,17,12
926,73,90,116,129,17,13
927,62,78,128,139,16,11
928,55,71,144,156,16,12
929,40,56,108,121,16,13
930,46,63,52,64,17,12
931,25,41,65,76,16,11
932,25,39,160,170,14,10
933,36,47,207,215,11,8
934,41,58,272,285,17,13
935,39,54,307,319,15,12
936,64,81,330,343,17,13
937,90,105,313,324,15,11
938,91,107,235,247,16,12
939,134,161,77,98,27,21
940,86,110,76,93,24,17
941,65,74,183,190,9,7
942,56,69,216,226,13,10
943,51,63,253,263,12,10
944,53,65,54,63,12,9
945,71,91,156,171,20,15
946,60,77,135,148,17,13
947,73,85,104,112,12,8
948,169,198,39,60,29,21
949,129,159,48,70,30,22
950,91,114,32,49,23,17
951,46,63,68,80,17,12
952,148,184,141,168,36,27
953,67,83,124,136,16,12
954,31,49,201,215,18,14
955,23,39,260,271,16,11
956,31,46,298,310,15,12
957,220,237,52,65,17,13
958,162,176,35,46,14,11
959,162,176,85,96,14,11
960,65,76,35,43,11,8
961,205,237,45,69,32,24
962,114,124,158,165,10,7
963,115,129,191,202,14,11
964,115,132,135,148,17,13
965,171,198,23,44,27,21
966,129,149,87,102,20,15
967,133,156,26,44,23,18
968,73,88,128,140,15,12
969,193,234,37,67,41,30
970,166,197,112,135,31,23
971,138,169,23,46,31,23
972,116,132,189,201,16,12
973,149,184,194,220,35,26
974,114,126,146,155,12,9
975,107,118,164,173,11,9
976,73,90,130,143,17,13
977,124,135,294,302,11,8
978,142,166,316,334,24,18
979,66,80,220,231,14,11
980,65,78,267,276,13,9
981,49,70,281,296,21,15
982,17,36,228,242,19,14
983,23,41,197,210,18,13
984,61,78,173,186,17,13
985,56,72,109,121,16,12
986,55,72,129,142,17,13
987,25,38,292,302,13,10
988,118,142,170,188,24,18
989,117,144,122,143,27,21
990,89,115,211,231,26,20
991,51,68,35,47,17,12
992,63,86,7,24,23,17
993,148,183,11,37,35,26
994,155,185,64,86,30,22
995,115,144,110,132,29,22
996,112,154,311,342,42,31
